Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     80.30     0.00        9     0.00     0.47  std::vector<double, std::allocator<double> >::_M_default_initialize(unsigned long)
  0.00     80.30     0.00        9     0.00     0.47  std::vector<double, std::allocator<double> >::vector(unsigned long, std::allocator<double> const&)
  0.00     80.30     0.00        9     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.00     80.30     0.00        9     0.00     0.00  void std::_Construct<double>(double*)
  0.00     80.30     0.00        9     0.00     0.47  double* std::__fill_n_a<double*, unsigned long, double>(double*, unsigned long, double const&, std::random_access_iterator_tag)
  0.00     80.30     0.00        9     0.00     0.00  double* std::__addressof<double>(double&)
  0.00     80.30     0.00        9     0.00     0.00  std::iterator_traits<double*>::iterator_category std::__iterator_category<double*>(double* const&)
  0.00     80.30     0.00        9     0.00     0.47  double* std::__uninitialized_default_n<double*, unsigned long>(double*, unsigned long)
  0.00     80.30     0.00        9     0.00     0.47  double* std::__uninitialized_default_n_a<double*, unsigned long, double>(double*, unsigned long, std::allocator<double>&)
  0.00     80.30     0.00        9     0.00     0.47  double* std::fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00     80.30     0.00        9     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00     80.30     0.00        9     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  0.00     80.30     0.00        7     0.00     0.00  std::vector<double, std::allocator<double> >::end()
  0.00     80.30     0.00        7     0.00     0.00  std::vector<double, std::allocator<double> >::begin()
  0.00     80.30     0.00        6     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     80.30     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00     80.30     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00     80.30     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00     80.30     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00     80.30     0.00        5     0.00     0.00  std::allocator<int>::allocator()
  0.00     80.30     0.00        5     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00     80.30     0.00        5     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00     80.30     0.00        5     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00     80.30     0.00        5     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00     80.30     0.00        5     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
