Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00    456.65     0.00  1050103     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double const&)
  0.00    456.65     0.00   500000     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  0.00    456.65     0.00   200001     0.00     0.00  std::vector<double, std::allocator<double> >::data()
  0.00    456.65     0.00   100001     0.00     0.00  int* std::vector<int, std::allocator<int> >::_M_data_ptr<int>(int*) const
  0.00    456.65     0.00   100001     0.00     0.00  std::vector<int, std::allocator<int> >::data()
  0.00    456.65     0.00   100000     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}>::_Iter_comp_iter(knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1})
  0.00    456.65     0.00   100000     0.00     0.00  void std::__make_heap<int*, __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}> >(int*, int*, __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}>&)
  0.00    456.65     0.00   100000     0.00     0.33  void std::__partial_sort<int*, __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}> >(int*, int*, int*, __gnu_cxx::__ops::_Iter_comp_iter<knn_predict_proba(double const*, std::vector<double, std::allocator<double> > const&, std::vector<int, std::allocator<int> > const&, double*, int*, int, int, int)::{lambda(int, int)#1}>)
  0.00    456.65     0.00   100000     0.00     0.00  double const& std::max<double>(double const&, double const&)
  0.00    456.65     0.00      367     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00    456.65     0.00      272     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00    456.65     0.00      248     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00    456.65     0.00      190     0.00     0.00  __gnu_cxx::new_allocator<double>::_M_max_size() const
  0.00    456.65     0.00      137     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00    456.65     0.00      130     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00    456.65     0.00      129     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00    456.65     0.00      125     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00    456.65     0.00      125     0.00     0.00  std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&)
  0.00    456.65     0.00      125     0.00     0.00  std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&)
  0.00    456.65     0.00      123     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.00    456.65     0.00      122     0.00     0.00  std::vector<double, std::allocator<double> >::max_size() const
  0.00    456.65     0.00      122     0.00     0.00  std::vector<double, std::allocator<double> >::_S_relocate(double*, double*, double*, std::allocator<double>&)
  0.00    456.65     0.00      122     0.00     0.00  std::vector<double, std::allocator<double> >::_S_do_relocate(double*, double*, double*, std::allocator<double>&, std::integral_constant<bool, true>)
  0.00    456.65     0.00      122     0.00     0.00  double* std::__relocate_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&)
